Baseline Data Length
395
Rows Removed	RMSSD	RMSE	Mean	SampEn
0	20.69486297827482	32.76339736914432	759.7715736040609	1.593793790734533
Original Data Length
395
Rows Removed	RMSSD	RMSE	Mean	SampEn
0	21.869087714298804	36.75655548539692	760.269035532995	1.4426317309247063
1.200000000000000000e+01	2.215697990544689588e+01	3.666201132238941796e+01	7.602486910994769005e+02	1.445510730344769623e+00
2.800000000000000000e+01	2.230013207160692090e+01	3.588152866387468976e+01	7.598852459016378589e+02	1.436122004308589828e+00
7.000000000000000000e+00	2.207576449952686914e+01	3.679367190714187785e+01	7.605736434108517869e+02	1.470517200283971926e+00
2.600000000000000000e+01	2.277535117739715531e+01	3.663391965103165404e+01	7.593369565217407171e+02	1.484351615710823857e+00
9.000000000000000000e+00	2.235782627702187142e+01	3.675695048109084695e+01	7.601220779220776649e+02	1.454722101198750561e+00
3.100000000000000000e+01	2.322844750475121245e+01	3.688710027833259630e+01	7.602038567493100345e+02	1.535377276438116168e+00
1.000000000000000000e+01	2.212821645426553019e+01	3.659733240704992596e+01	7.602838541666675383e+02	1.447338065152419251e+00
3.300000000000000000e+01	2.364617657608025425e+01	3.728961523361582664e+01	7.607479224376734237e+02	1.462042451928589948e+00
7.000000000000000000e+00	2.204828662289578034e+01	3.687663793100766441e+01	7.602093023255813478e+02	1.468020098643718629e+00
2.000000000000000000e+01	2.284374008620700636e+01	3.635253330020996998e+01	7.594973262032082175e+02	1.502264159652093367e+00
9.000000000000000000e+00	2.250480272816616534e+01	3.698421428927243682e+01	7.606519480519473291e+02	1.447062095637821511e+00
1.400000000000000000e+01	2.251103511274576974e+01	3.708450436488242019e+01	7.604921052631575549e+02	1.458674196047858196e+00
8.000000000000000000e+00	2.225559903287220109e+01	3.657331759540659277e+01	7.608808290155452596e+02	1.448887210761376387e+00
3.200000000000000000e+01	2.383269246050601353e+01	3.676821409060454471e+01	7.598646408839763353e+02	1.501710531766007994e+00
1.900000000000000000e+01	2.279570979431797539e+01	3.671934194520467543e+01	7.607706666666666706e+02	1.507457335467930148e+00
1.500000000000000000e+01	2.254841938876183605e+01	3.641852177133949908e+01	7.592717678100278818e+02	1.457142051450725395e+00
1.600000000000000000e+01	2.228480944714689116e+01	3.678975699282000988e+01	7.601560846560845448e+02	1.476646438452287713e+00
1.000000000000000000e+01	2.216499957741000415e+01	3.668961018680602137e+01	7.599479166666670835e+02	1.517942436913444881e+00
2.200000000000000000e+01	2.272613229190330486e+01	3.692506808342930924e+01	7.597822580645151902e+02	1.485283269781680016e+00
3.900000000000000000e+01	2.431763676074086789e+01	3.677778518398124419e+01	7.599239436619741355e+02	1.513437839535837215e+00
2.900000000000000000e+01	2.350046761283646646e+01	3.686705240980355569e+01	7.609643835616436718e+02	1.544738735821848286e+00
1.800000000000000000e+01	2.220912725285758071e+01	3.684737640327316655e+01	7.593989361702106180e+02	1.437930489501229259e+00
2.800000000000000000e+01	2.396418560646498719e+01	3.658928949278740106e+01	7.615628415300546976e+02	1.522212608820486368e+00
3.100000000000000000e+01	2.337320324291466633e+01	3.686439474734663690e+01	7.593746556473822693e+02	1.543988003023497368e+00
2.600000000000000000e+01	2.318431067727866335e+01	3.730880518606200269e+01	7.601331521739114123e+02	1.440361582390165651e+00
2.600000000000000000e+01	2.284451651064336275e+01	3.647772554522013877e+01	7.610570652173900044e+02	1.478101910373012640e+00
1.700000000000000000e+01	2.290004877817502660e+01	3.697066813095908344e+01	7.604429708222833142e+02	1.472205748998494546e+00
3.200000000000000000e+01	2.287452223136609319e+01	3.631939272066750135e+01	7.601104972375712805e+02	1.448169764837978546e+00
3.800000000000000000e+01	2.404836675664152779e+01	3.675980417355803098e+01	7.594775280898888923e+02	1.557451857367648351e+00
4.000000000000000000e+00	2.199935731709752673e+01	3.683215800422161124e+01	7.604666666666663559e+02	1.452152433801471298e+00
2.900000000000000000e+01	2.350514322956061264e+01	3.667013891450565666e+01	7.594849315068512396e+02	1.496727946855348934e+00
1.600000000000000000e+01	2.256596578193324731e+01	3.668711465155590190e+01	7.600079365079368472e+02	1.501102089612619483e+00
1.100000000000000000e+01	2.217452195840894902e+01	3.687863608376436986e+01	7.601148825065286019e+02	1.468083794128370423e+00
2.000000000000000000e+01	2.239979174548960117e+01	3.608990724508147707e+01	7.598636363636372835e+02	1.439823006909260350e+00
5.000000000000000000e+00	2.222315361737041073e+01	3.677263282754331897e+01	7.601593830334202266e+02	1.448582415535023982e+00
1.900000000000000000e+01	2.312226280953879254e+01	3.665636218842345073e+01	7.601333333333337805e+02	1.495812886926384255e+00
3.000000000000000000e+00	2.200763270858908882e+01	3.673231986212576317e+01	7.604015345268536521e+02	1.460697101146051002e+00
2.500000000000000000e+01	2.299367824274002814e+01	3.669878074571185067e+01	7.598563685636861464e+02	1.504704946216388173e+00
1.900000000000000000e+01	2.281599260862419243e+01	3.675500108677724143e+01	7.608053333333324417e+02	1.446004209279001307e+00
3.500000000000000000e+01	2.358717339156316584e+01	3.734711803164819344e+01	7.604261838440107795e+02	1.577276399478293456e+00
2.500000000000000000e+01	2.269427001038611280e+01	3.681912094415292813e+01	7.599945799458008651e+02	1.426602084607986098e+00
3.000000000000000000e+01	2.381904925554785990e+01	3.656625605657658440e+01	7.608846153846152447e+02	1.484162087075335590e+00
3.900000000000000000e+01	2.326128910059722088e+01	3.648274012894212603e+01	7.613577464788749012e+02	1.492770325861582537e+00
2.300000000000000000e+01	2.310498951613939767e+01	3.736692222715186062e+01	7.602048517520223641e+02	1.452831904678463459e+00
2.500000000000000000e+01	2.278747510671825438e+01	3.695797965119696471e+01	7.598292682926827410e+02	1.446756023594323093e+00
2.600000000000000000e+01	2.275859570523311959e+01	3.748268306844473585e+01	7.605706521739120944e+02	1.485973043310285568e+00
2.300000000000000000e+01	2.339785159923177460e+01	3.709709917968568504e+01	7.595363881401617618e+02	1.452535222347617117e+00
2.600000000000000000e+01	2.315479246655279155e+01	3.749569908779783844e+01	7.599320652173912549e+02	1.479461727978499841e+00
3.300000000000000000e+01	2.283278588151268806e+01	3.695679646639106863e+01	7.600637119113580411e+02	1.497961169758838640e+00
3.100000000000000000e+01	2.332114256652105055e+01	3.692819658342670408e+01	7.612093663911870181e+02	1.457898200147568213e+00
2.700000000000000000e+01	2.371408702643662636e+01	3.665347028296617538e+01	7.609482288828331775e+02	1.484713029594483036e+00
3.500000000000000000e+01	2.445877845632478298e+01	3.721218051179175745e+01	7.601587743732587796e+02	1.467429129620534844e+00
2.200000000000000000e+01	2.272091310188849533e+01	3.700791094224215527e+01	7.602849462365591080e+02	1.544197390565701156e+00
2.400000000000000000e+01	2.286421565949273926e+01	3.710199197643488134e+01	7.597945945945976973e+02	1.499977091394303574e+00
2.900000000000000000e+01	2.324901037715094532e+01	3.713790199120836633e+01	7.605397260273953179e+02	1.535804661390647308e+00
1.100000000000000000e+01	2.223453047738653154e+01	3.645699077132400845e+01	7.601618798955621514e+02	1.451567451504312656e+00
8.000000000000000000e+00	2.236097017155786659e+01	3.702841366955559010e+01	7.602927461139901197e+02	1.466526051124143137e+00
7.000000000000000000e+00	2.223735595794232722e+01	3.678053911707009860e+01	7.605090439276480083e+02	1.484208266853216385e+00
2.800000000000000000e+01	2.310162183716293427e+01	3.673574123284084436e+01	7.602486338797818917e+02	1.509942516228671261e+00
1.400000000000000000e+01	2.230686679183512666e+01	3.690342978903163385e+01	7.599947368421047713e+02	1.489607928326189601e+00
5.000000000000000000e+00	2.199091893178250601e+01	3.661995260808744490e+01	7.605167095115667735e+02	1.441832711747065066e+00
3.400000000000000000e+01	2.335704459116368881e+01	3.673662349989456999e+01	7.606777777777766687e+02	1.504077396776273501e+00
2.200000000000000000e+01	2.299367075694696894e+01	3.689489119904432357e+01	7.601962365591407433e+02	1.453605890677199364e+00
9.000000000000000000e+00	2.235805922928553358e+01	3.692232048561123747e+01	7.605064935064932570e+02	1.439663812055152592e+00
1.200000000000000000e+01	2.275944037063407066e+01	3.683280344564120412e+01	7.598586387434550034e+02	1.461734068721466162e+00
3.900000000000000000e+01	2.370397711510500827e+01	3.658265361515711334e+01	7.608957746478878335e+02	1.496550847389922501e+00
2.700000000000000000e+01	2.330921860834394366e+01	3.642359460507213953e+01	7.615476839237046534e+02	1.463430090002118211e+00
2.600000000000000000e+01	2.306211255333665733e+01	3.754306512307087473e+01	7.601005434782599650e+02	1.546491414759012528e+00
1.700000000000000000e+01	2.345978904695845912e+01	3.692408589584534440e+01	7.601114058355447014e+02	1.497901814732122361e+00
2.700000000000000000e+01	2.253588516607959846e+01	3.693959714466463140e+01	7.606021798365136419e+02	1.530061649303724236e+00
2.700000000000000000e+01	2.341937687290485215e+01	3.673849085561078454e+01	7.610899182561274756e+02	1.475285208823453154e+00
1.700000000000000000e+01	2.252085322068241879e+01	3.680014311068220678e+01	7.600822281167096435e+02	1.463419062637710599e+00
2.700000000000000000e+01	2.319571045704200074e+01	3.688023471269960396e+01	7.602234332425060757e+02	1.416599710615220165e+00
2.500000000000000000e+01	2.293107583892524914e+01	3.629187428070076038e+01	7.595284552845536155e+02	1.518383792427514534e+00
